"ID","EnterpriseEntryID","DefinitionSetID","Entry","EntryCode","EntryName","EntryMnemonic","IsInactiveFLAG","IsEnforcedFLAG","IsCurrentFLAG","EffectiveDT"
"0","0","0","0","","","","0","1","0","1996-9-21T12:12:00"
"3","389","0","2","2","Female","F","0","1","1","1996-9-22T16:43:00"
"2","388","0","1","1","Male","M","0","1","1","1996-9-22T16:43:00"
"4","390","0","3","3","Unknown","U","0","1","1","1996-9-22T16:43:00"
